"1","United States (USA)"
"2","United Kingdom (UK)"
"3","Germany"
"4","Japan"
"5","Argentina"
"6","Mexico"
"7","Norway"
"8","Canada"
"10","Australia"
"11","South Korea"
"12","South Africa"
"13","China"
"14","Thailand"
"15","Italy"
"16","Taiwan"
"17","Spain"
"18","Brazil"
"19","England"
"20","Hungary"
"21","Sweden"
"22","France"
"23","Israel"
"24","Saudi Arabia"
"25","Vietnam"
"26","Estonia"
"27","Switzerland"
"28","Finland"
"29","Denmark"
"30","Netherlands"
"31","Russia"
"32","India"
"33","Belgium"
"34","Poland"
"35","Turkey"
"36","Slovenia"
"37","Ireland"
"38","Puerto Rico"
"39","Uruguay"
"40","Singapore"
"41","Czech Republic"
"42","United Arab Emirates"
